id;nom;adresse;code_postal;ville;lat;lon;detail;departement_groupe
1;Legacy;local asynchronous;Mobility cultivate Diverse;Ergonomic Colorado Practical Fresh Towels;16369;89776;../fake-data/blob/hipster.txt;plum Unbra
2;1080p Malaysia Implementation;New Mexico deposit;pixel Product;Viaduct Regional;69538;52875;../fake-data/blob/hipster.txt;Cotton con
3;Canada program;cultivate withdrawal Wooden;Handcrafted copy Open-source;functionalities;57561;22465;../fake-data/blob/hipster.txt;Investment
4;Trinidad and Tobago Dollar;Gibraltar Intelligent Producer;driver;calculate;43200;50970;../fake-data/blob/hipster.txt;navigating
5;Internal JBOD Ball;Lempira infomediaries;Principal;Bolivar Fuerte capability recontextualize;13298;2878;../fake-data/blob/hipster.txt;SMTP digit
6;bypass;Paradigm Minnesota Ports;primary;Future-proofed Configuration Refined Plastic Table;59789;16371;../fake-data/blob/hipster.txt;Baby invoi
7;Books;payment;Boliviano Mvdol;engage Lake Toys;53661;54028;../fake-data/blob/hipster.txt;Chicken ca
8;Ergonomic Wooden Mouse plum;wireless copy;Liberian Dollar;evolve;31027;92384;../fake-data/blob/hipster.txt;platforms
9;digital Bedfordshire;Granite pink;Rubber incentivize Metal;workforce Aruba;58765;85197;../fake-data/blob/hipster.txt;invoice
10;Centralized;indexing Cotton Berkshire;Clothing cultivate innovate;Nuevo Sol Home;97501;23915;../fake-data/blob/hipster.txt;leading-ed
