id;validated;date_validation;admin;presentation;connaissance;mailing_list
1;false;2020-02-13T16:43:57;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
2;false;2020-02-13T19:12:51;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
3;true;2020-02-13T19:11:58;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
4;false;2020-02-13T14:12:53;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
5;false;2020-02-14T02:47:41;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
6;false;2020-02-13T16:36:47;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
7;true;2020-02-14T01:24:04;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
8;true;2020-02-14T07:31:49;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
9;false;2020-02-13T12:11:31;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
10;false;2020-02-14T11:33:01;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
