id;titre;publique;message
1;Kids Jewelery SDR;false;../fake-data/blob/hipster.txt
2;Fresh Fantastic;false;../fake-data/blob/hipster.txt
3;Supervisor Persistent maroon;false;../fake-data/blob/hipster.txt
4;Colombia Intelligent Wooden Sausages microchip;true;../fake-data/blob/hipster.txt
5;Security;false;../fake-data/blob/hipster.txt
6;Sleek Shoals;true;../fake-data/blob/hipster.txt
7;Shoes;true;../fake-data/blob/hipster.txt
8;client-server;false;../fake-data/blob/hipster.txt
9;transmitter North Korean Won Refined Granite Tuna;false;../fake-data/blob/hipster.txt
10;Practical Metal Mouse Metrics;true;../fake-data/blob/hipster.txt
