id;type_du_groupe;icone_fa;detail;ordre_mail
1;Music synergistic;Anguilla;../fake-data/blob/hipster.txt;53736
2;Sausages programming;hack;../fake-data/blob/hipster.txt;24005
3;Industrial Glen JSON;Handcrafted;../fake-data/blob/hipster.txt;81642
4;navigate Automotive;hacking application;../fake-data/blob/hipster.txt;85742
5;RAM deposit;New Jersey Handcrafted;../fake-data/blob/hipster.txt;59468
6;robust global next-generation;Movies initiatives turn-key;../fake-data/blob/hipster.txt;62667
7;Kansas parsing;object-oriented;../fake-data/blob/hipster.txt;77606
8;Sleek Senior Brooks;help-desk Central;../fake-data/blob/hipster.txt;37057
9;parallelism Handmade;web-readiness;../fake-data/blob/hipster.txt;48580
10;FTP;exuding orange;../fake-data/blob/hipster.txt;85907
